               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12408,             0.01513,            0.029596,           0.0032502,             0.95238,            0.018264,            0.006345,             0.10019,            0.012181,            0.024642,              0.0982,              0.0002,              0.0002
                   1,             0.12138,            0.013899,            0.030025,           0.0032516,             0.95238,            0.018658,           0.0061281,            0.097691,            0.012619,            0.024497,            0.095499,          0.00049901,          0.00049901
                   2,             0.11973,            0.015621,            0.028811,           0.0032528,             0.95238,            0.016577,           0.0045842,            0.092972,            0.013471,            0.024441,            0.092797,          0.00079683,          0.00079683
                   3,             0.11319,            0.017576,            0.028064,           0.0032547,             0.95238,              0.0137,           0.0036156,            0.086997,            0.014482,             0.02438,            0.090093,           0.0010935,           0.0010935
                   4,             0.10075,            0.022947,            0.028598,           0.0032549,             0.95238,            0.017637,           0.0036773,            0.083753,            0.014666,            0.023945,            0.087389,           0.0013889,           0.0013889
                   5,            0.088505,            0.020524,            0.028501,           0.0032555,             0.95238,            0.021442,           0.0041843,            0.077939,            0.015623,            0.023575,            0.084683,           0.0016832,           0.0016832
                   6,             0.08493,            0.026451,            0.029653,           0.0032528,             0.95238,            0.021986,           0.0040036,             0.07268,             0.01646,            0.023236,            0.081976,           0.0019762,           0.0019762
                   7,            0.083248,            0.026004,            0.028363,           0.0032511,             0.95238,             0.01471,           0.0048325,             0.06546,            0.017763,            0.022956,            0.079268,           0.0022681,           0.0022681
                   8,            0.079514,            0.028313,            0.028006,            0.021323,             0.85714,             0.21071,            0.050255,            0.057455,            0.018712,            0.023026,            0.076559,           0.0025588,           0.0025588
                   9,            0.074318,            0.029492,            0.027905,            0.060066,             0.65938,              0.2947,              0.1549,            0.056267,            0.018145,            0.022836,            0.073848,           0.0028483,           0.0028483
                  10,            0.069024,             0.02851,            0.025934,             0.30572,             0.23453,             0.41579,             0.19718,            0.056257,            0.016894,            0.022391,            0.071137,           0.0031366,           0.0031366
                  11,            0.064995,            0.027687,            0.026343,             0.48111,             0.75595,             0.61003,             0.25514,            0.051369,            0.017512,            0.022085,            0.068424,           0.0034238,           0.0034238
                  12,            0.065034,            0.029274,            0.026406,             0.51052,             0.87655,             0.71619,             0.31378,            0.056108,            0.015031,            0.021441,             0.06571,           0.0037097,           0.0037097
                  13,            0.057364,            0.023534,            0.026144,             0.56186,             0.90357,             0.76041,             0.48547,            0.053174,            0.014683,            0.021139,            0.062994,           0.0039945,           0.0039945
                  14,             0.06126,            0.028145,            0.026066,             0.67247,             0.95238,             0.88067,             0.44127,            0.064317,            0.011826,            0.021289,            0.060278,            0.004278,            0.004278
                  15,            0.063784,            0.023501,            0.025174,             0.69152,             0.95238,             0.90947,             0.38534,            0.053709,            0.013738,            0.021092,             0.05756,           0.0045604,           0.0045604
                  16,            0.063123,             0.02238,            0.024818,             0.66208,             0.90476,             0.85841,             0.23993,            0.057926,            0.014932,            0.020914,            0.054842,           0.0048416,           0.0048416
                  17,            0.061141,            0.022425,            0.024339,              0.5968,             0.85238,             0.90327,             0.33543,            0.064975,            0.012978,            0.020491,            0.052122,           0.0051216,           0.0051216
                  18,            0.065374,            0.022269,            0.024435,             0.53886,             0.85238,              0.8701,             0.37697,            0.055324,            0.014607,             0.02017,              0.0494,           0.0054004,           0.0054004
                  19,            0.058219,            0.019879,            0.025239,              0.4947,             0.65214,             0.75634,             0.22071,            0.068462,            0.013826,            0.019809,            0.046678,            0.005678,            0.005678
                  20,            0.059763,            0.021221,            0.024284,             0.35396,             0.92738,             0.64846,             0.23295,            0.053398,            0.015074,            0.019605,            0.043954,           0.0059545,           0.0059545
                  21,            0.056608,            0.020524,            0.023968,             0.18807,             0.90357,             0.40183,             0.13516,            0.071515,            0.014739,            0.020297,             0.04123,           0.0062297,           0.0062297
                  22,            0.061738,            0.018909,            0.022837,             0.19454,             0.78214,             0.36037,             0.10852,            0.062928,            0.015812,            0.020217,            0.038504,           0.0065038,           0.0065038
                  23,            0.064925,            0.018202,            0.024684,             0.31469,             0.65357,             0.45542,             0.12255,            0.068988,            0.012482,             0.01956,            0.035777,           0.0067767,           0.0067767
                  24,            0.063947,            0.018887,            0.024059,             0.29876,             0.95238,              0.4813,             0.16774,            0.050715,            0.013972,            0.018994,            0.033048,           0.0070484,           0.0070484
                  25,            0.053695,            0.020861,             0.02404,              0.3192,             0.92857,             0.50814,             0.26083,            0.061627,            0.011797,            0.018146,            0.030319,           0.0073188,           0.0073188
                  26,            0.059392,            0.018765,            0.022812,             0.39754,             0.82243,             0.51483,             0.21384,             0.05259,            0.011666,            0.017411,            0.027588,           0.0075882,           0.0075882
                  27,             0.06005,            0.020279,            0.022032,              0.3294,             0.83333,             0.52151,              0.1793,            0.066377,            0.010183,            0.017007,            0.024856,           0.0078563,           0.0078563
                  28,            0.065428,            0.017926,            0.023529,              0.3294,             0.83333,             0.52151,              0.1793,            0.066377,            0.010183,            0.017007,            0.022123,           0.0081232,           0.0081232
                  29,            0.057865,            0.018797,            0.022626,             0.46218,             0.90357,              0.6378,             0.27036,            0.053401,            0.010571,            0.017198,            0.019389,            0.008389,            0.008389
